country,name,rank,region,staff_int,staff_tot,student_int,student_tot
United States,Massachusetts Institute of Technology (MIT),1,North America,1679.0,2982.0,3717.0,11067.0
United States,Stanford University,2,North America,2042.0,4285.0,3611.0,15878.0
United States,Harvard University,3,North America,1311.0,4350.0,5266.0,22429.0
United States,California Institute of Technology (Caltech),4,North America,350.0,953.0,647.0,2255.0
United Kingdom,University of Cambridge,5,Europe,2278.0,5490.0,6699.0,18770.0
United Kingdom,University of Oxford,6,Europe,2964.0,6750.0,7353.0,19720.0
United Kingdom,UCL (University College London),7,Europe,2554.0,6345.0,14854.0,31080.0
United Kingdom,Imperial College London,8,Europe,2071.0,3930.0,8746.0,16090.0
United States,University of Chicago,9,North America,635.0,2449.0,3379.0,13557.0
Switzerland,ETH Zurich - Swiss Federal Institute of Technology,10,Europe,1886.0,2477.0,7563.0,19815.0
Singapore,"Nanyang Technological University, Singapore (NTU)",11,Asia,2993.0,4338.0,7251.0,25738.0
Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL),12,Europe,1300.0,1695.0,5896.0,10343.0
United States,Princeton University,13,North America,246.0,1007.0,1793.0,8069.0
United States,Cornell University,14,North America,970.0,2718.0,5411.0,21904.0
Singapore,National University of Singapore (NUS),15,Asia,3086.0,5106.0,8917.0,32728.0
United States,Yale University,16,North America,1708.0,4940.0,2469.0,12402.0
United States,Johns Hopkins University,17,North America,1061.0,4462.0,4105.0,16146.0
United States,Columbia University,18,North America,913.0,6189.0,8105.0,25045.0
United States,University of Pennsylvania,19,North America,1383.0,5499.0,4250.0,20639.0
Australia,The Australian National University,20,Oceania,927.0,1600.0,5551.0,14442.0
United States,University of Michigan,=21,North America,1920.0,6809.0,7527.0,43147.0
United States,Duke University,=21,North America,226.0,2938.0,2864.0,15320.0
United Kingdom,The University of Edinburgh,=23,Europe,1553.0,4075.0,10551.0,28040.0
United Kingdom,King's College London,=23,Europe,1513.0,3650.0,9451.0,23780.0
China,Tsinghua University,25,Asia,932.0,5506.0,4072.0,36300.0
Hong Kong,The University of Hong Kong,26,Asia,2085.0,3012.0,8230.0,20214.0
United States,"University of California, Berkeley (UCB)",27,North America,1395.0,3321.0,6086.0,36703.0
Japan,The University of Tokyo,=28,Asia,254.0,4514.0,2639.0,27279.0
United States,Northwestern University,=28,North America,1141.0,4231.0,3422.0,18675.0
Hong Kong,The Hong Kong University of Science and Technology,30,Asia,835.0,1150.0,2921.0,10375.0
Canada,University of Toronto,31,North America,3905.0,9581.0,21910.0,72207.0
Canada,McGill University,32,North America,1220.0,3646.0,9540.0,28837.0
United States,"University of California, Los Angeles (UCLA)",33,North America,662.0,2859.0,6887.0,40114.0
United Kingdom,The University of Manchester,34,Europe,1653.0,4910.0,13514.0,36670.0
United Kingdom,London School of Economics and Political Science (LSE),35,Europe,687.0,1088.0,6748.0,9760.0
Japan,Kyoto University,=36,Asia,293.0,4060.0,1990.0,22974.0
South Korea,Seoul National University,=36,Asia,433.0,3930.0,2331.0,28064.0
China,Peking University,=38,Asia,1038.0,5185.0,7090.0,42136.0
United States,"University of California, San Diego (UCSD)",=38,North America,870.0,3694.0,6644.0,32237.0
China,Fudan University,40,Asia,1178.0,4037.0,4680.0,29135.0
South Korea,KAIST - Korea Advanced Institute of Science & Technology,=41,Asia,147.0,1250.0,584.0,9826.0
Australia,The University of Melbourne,=41,Oceania,1477.0,3311.0,18030.0,42182.0
France,"Ecole normale supérieure, Paris",43,Europe,75.0,178.0,374.0,1907.0
United Kingdom,University of Bristol,44,Europe,942.0,2870.0,5099.0,20630.0
Australia,The University of New South Wales (UNSW Sydney),45,Oceania,1612.0,2924.0,14292.0,39784.0
Hong Kong,The Chinese University of Hong Kong (CUHK),46,Asia,1074.0,2208.0,4824.0,18037.0
Australia,The University of Queensland,=47,Oceania,1870.0,3158.0,10420.0,37497.0
United States,Carnegie Mellon University,=47,North America,425.0,1342.0,6385.0,13356.0
Hong Kong,City University of Hong Kong,49,Asia,1027.0,1349.0,3273.0,9240.0
Australia,The University of Sydney,50,Oceania,1829.0,3360.0,17030.0,46678.0
Canada,University of British Columbia,51,North America,1635.0,4648.0,11388.0,50350.0
United States,New York University (NYU),52,North America,,,,
United States,Brown University,53,North America,379.0,1303.0,1825.0,9251.0
Netherlands,Delft University of Technology,54,Europe,701.0,1669.0,4634.0,16527.0
United States,University of Wisconsin-Madison,55,North America,1151.0,5722.0,4920.0,38985.0
Japan,Tokyo Institute of Technology,56,Asia,191.0,1563.0,1071.0,9832.0
United Kingdom,The University of Warwick,57,Europe,890.0,2093.0,7703.0,19855.0
Netherlands,University of Amsterdam,58,Europe,707.0,2600.0,3785.0,25967.0
France,Ecole Polytechnique,59,Europe,259.0,649.0,924.0,3126.0
Australia,Monash University,60,Oceania,1679.0,3204.0,20578.0,57433.0
United States,University of Washington,61,North America,550.0,2484.0,8373.0,56973.0
China,Shanghai Jiao Tong University,62,Asia,887.0,3544.0,2858.0,38931.0
Japan,Osaka University,63,Asia,296.0,2814.0,2106.0,22760.0
Germany,Technical University of Munich,64,Europe,1174.0,5850.0,6181.0,38726.0
United Kingdom,University of Glasgow,65,Europe,956.0,2775.0,8149.0,23815.0
Germany,Ludwig-Maximilians-Universität München,66,Europe,674.0,3274.0,5084.0,35055.0
United States,University of Texas at Austin,67,North America,108.0,2833.0,4744.0,47995.0
Germany,Ruprecht-Karls-Universität Heidelberg,68,Europe,756.0,3908.0,5298.0,28852.0
United States,University of Illinois at Urbana-Champaign,69,North America,259.0,2554.0,9483.0,42427.0
United States,Georgia Institute of Technology,70,North America,75.0,1133.0,4761.0,21082.0
South Korea,Pohang University of Science And Technology (POSTECH),=71,Asia,113.0,664.0,126.0,3117.0
Belgium,KU Leuven,=71,Europe,784.0,2515.0,6926.0,45538.0
Denmark,University of Copenhagen,=73,Europe,2336.0,7483.0,3683.0,32119.0
Switzerland,University of Zurich,=73,Europe,2617.0,4997.0,5036.0,26065.0
Argentina,Universidad de Buenos Aires (UBA),75,Latin America,3165.0,16421.0,27109.0,122301.0
Japan,Tohoku University,=76,Asia,264.0,3411.0,1604.0,17827.0
Taiwan,National Taiwan University (NTU),=76,Asia,220.0,2807.0,3152.0,32195.0
United Kingdom,Durham University,=78,Europe,586.0,1539.0,4690.0,16745.0
Sweden,Lund University,=78,Europe,1002.0,3031.0,6408.0,27786.0
United States,"University of North Carolina, Chapel Hill",80,North America,524.0,4083.0,1934.0,25373.0
United States,Boston University,81,North America,379.0,3157.0,7041.0,25662.0
New Zealand,The University of Auckland,=82,Oceania,645.0,2047.0,8568.0,29641.0
United Kingdom,The University of Sheffield,=82,Europe,938.0,3065.0,8745.0,25430.0
United Kingdom,University of Birmingham,=84,Europe,1028.0,2962.0,7795.0,28660.0
United Kingdom,The University of Nottingham,=84,Europe,1135.0,3360.0,7993.0,29165.0
United States,The Ohio State University,86,North America,1696.0,5911.0,6874.0,43156.0
China,Zhejiang University,87,Asia,1913.0,4507.0,4625.0,40869.0
Ireland,"Trinity College Dublin, The University of Dublin",88,Europe,544.0,1249.0,4311.0,14961.0
United States,Rice University,89,North America,316.0,969.0,1847.0,6610.0
South Korea,Korea University,=90,Asia,339.0,3745.0,3638.0,25892.0
Canada,University of Alberta,=90,North America,1294.0,3561.0,8203.0,31765.0
United Kingdom,University of St Andrews,92,Europe,485.0,1140.0,4030.0,8800.0
Australia,The University of Western Australia,=93,Oceania,809.0,1420.0,4575.0,18531.0
United States,Pennsylvania State University,=93,North America,211.0,3509.0,7081.0,45612.0
Russia,Lomonosov Moscow State University,=95,Europe,373.0,6709.0,5098.0,30233.0
Hong Kong,The Hong Kong Polytechnic University,=95,Asia,1275.0,2447.0,5251.0,20972.0
China,University of Science and Technology of China,97,Asia,155.0,1992.0,548.0,16032.0
Switzerland,University of Geneva,=98,Europe,1029.0,1752.0,6104.0,15844.0
Sweden,KTH Royal Institute of Technology,=98,Europe,494.0,1500.0,1937.0,12658.0
United States,Washington University in St. Louis,100,North America,784.0,2699.0,2706.0,13474.0
United Kingdom,University of Leeds,101,Europe,870.0,3025.0,7534.0,29645.0
United Kingdom,University of Southampton,=102,Europe,1017.0,2820.0,7789.0,23775.0
Finland,University of Helsinki,=102,Europe,535.0,2645.0,1234.0,22419.0
Netherlands,Eindhoven University of Technology,104,Europe,322.0,801.0,1275.0,7636.0
United States,Purdue University,105,North America,1334.0,3247.0,8787.0,38143.0
South Korea,Yonsei University,106,Asia,290.0,3621.0,3379.0,25903.0
Germany,"KIT, Karlsruhe Institute of Technology",107,Europe,410.0,1827.0,4809.0,26081.0
South Korea,Sungkyunkwan University (SKKU),108,Asia,324.0,3556.0,2818.0,23921.0
Netherlands,Utrecht University,=109,Europe,653.0,3067.0,2771.0,31754.0
Netherlands,Leiden University,=109,Europe,581.0,2324.0,3488.0,26513.0
Australia,The University of Adelaide,=109,Oceania,633.0,1729.0,8114.0,21240.0
Sweden,Uppsala University,112,Europe,584.0,2567.0,5198.0,25371.0
Netherlands,University of Groningen,113,Europe,1137.0,3351.0,10780.0,27549.0
Malaysia,Universiti Malaya (UM),=114,Asia,655.0,2755.0,3476.0,17902.0
China,Nanjing University,=114,Asia,617.0,2449.0,2960.0,32495.0
Japan,Nagoya University,=116,Asia,206.0,2665.0,1547.0,15838.0
Denmark,Technical University of Denmark,=116,Europe,966.0,2117.0,2098.0,8878.0
United States,"University of California, Davis",118,North America,549.0,3843.0,4529.0,34244.0
Denmark,Aarhus University,119,Europe,602.0,2316.0,3762.0,26226.0
Germany,Humboldt-Universität zu Berlin,120,Europe,407.0,1966.0,4805.0,33198.0
Brazil,Universidade de São Paulo,121,Latin America,279.0,5582.0,2086.0,65711.0
Mexico,Universidad Nacional Autónoma de México  (UNAM),=122,Latin America,949.0,15073.0,2173.0,141939.0
Japan,Hokkaido University,=122,Asia,210.0,2605.0,1347.0,17552.0
Netherlands,Wageningen University,124,Europe,323.0,2277.0,3613.0,12695.0
Germany,Freie Universitaet Berlin,=125,Europe,305.0,1375.0,5735.0,32912.0
Belgium,Ghent University,=125,Europe,482.0,2520.0,3766.0,35968.0
United Kingdom,Queen Mary University of London,127,Europe,801.0,1885.0,6806.0,16135.0
Japan,Kyushu University,128,Asia,246.0,2858.0,1787.0,18660.0
United States,"University of Maryland, College Park",129,North America,473.0,3920.0,4683.0,35504.0
Canada,Université de Montréal,130,North America,1037.0,2961.0,9688.0,39112.0
France,Université Pierre et Marie Curie (UPMC),131,Europe,253.0,2273.0,4213.0,24305.0
United States,University of Southern California,132,North America,551.0,3124.0,9170.0,38749.0
Sweden,Chalmers University of Technology,133,Europe,336.0,1077.0,1465.0,9257.0
United States,"University of California, Santa Barbara (UCSB)",134,North America,267.0,1449.0,2128.0,23149.0
United Kingdom,Lancaster University,=135,Europe,435.0,1245.0,4464.0,12300.0
United Kingdom,University of York,=135,Europe,636.0,1833.0,3364.0,15999.0
United Kingdom,Cardiff University,=137,Europe,705.0,2755.0,6090.0,24565.0
Chile,Pontificia Universidad Católica de Chile (UC),=137,Latin America,198.0,2260.0,991.0,27003.0
Finland,Aalto University,=137,Europe,370.0,1257.0,1831.0,12147.0
Canada,McMaster University,140,North America,1170.0,3231.0,3548.0,23702.0
Germany,RWTH Aachen University,141,Europe,449.0,3176.0,8556.0,44517.0
United States,University of Pittsburgh,=142,North America,572.0,4982.0,2937.0,26393.0
Norway,University of Oslo,=142,Europe,711.0,2509.0,3667.0,24304.0
Germany,Technische Universität Berlin (TU Berlin),144,Europe,377.0,2562.0,4494.0,22176.0
Israel,The Hebrew University of Jerusalem,145,Asia,454.0,2249.0,1034.0,16531.0
Switzerland,University of Lausanne,146,Europe,1031.0,2173.0,3337.0,13435.0
Netherlands,Erasmus University Rotterdam,=147,Europe,458.0,2011.0,5229.0,23273.0
United States,Emory University,=147,North America,484.0,2560.0,2154.0,12852.0
Switzerland,University of Basel,=149,Europe,684.0,1057.0,3441.0,12852.0
United States,Michigan State University,=149,North America,653.0,2884.0,7427.0,44951.0
New Zealand,University of Otago,151,Oceania,759.0,1266.0,3871.0,18532.0
Canada,University of Waterloo,152,North America,473.0,1689.0,8962.0,35541.0
Belgium,Université catholique de Louvain (UCL),153,Europe,406.0,1219.0,4468.0,24277.0
Austria,University of Vienna,154,Europe,1400.0,3411.0,14468.0,45967.0
South Korea,Hanyang University,155,Asia,364.0,3085.0,3397.0,23348.0
Spain,Universitat de Barcelona,156,Europe,108.0,3863.0,6134.0,46002.0
France,École Normale Supérieure de Lyon,157,Europe,91.0,382.0,221.0,2020.0
United Kingdom,University of Aberdeen,=158,Europe,508.0,1310.0,4246.0,12005.0
United Kingdom,The University of Exeter,=158,Europe,597.0,1756.0,5504.0,20749.0
United Kingdom,University of Bath,160,Europe,440.0,1165.0,4213.0,14370.0
United Kingdom,Newcastle University,=161,Europe,835.0,2428.0,5717.0,21673.0
Taiwan,National Tsing Hua University,=161,Asia,119.0,1020.0,1187.0,13890.0
United States,University of Minnesota,163,North America,195.0,4919.0,6542.0,59742.0
Norway,University of Bergen,=164,Europe,484.0,1513.0,767.0,10671.0
United States,"University of California, Irvine",=164,North America,377.0,1926.0,8538.0,32151.0
Germany,Eberhard Karls Universität Tübingen,=164,Europe,796.0,3844.0,3860.0,27366.0
Switzerland,University of Bern,167,Europe,661.0,1172.0,1618.0,10758.0
Ireland,University College Dublin,168,Europe,627.0,1604.0,3876.0,19833.0
United States,Dartmouth College,169,North America,27.0,939.0,945.0,6224.0
Italy,Politecnico di Milano,170,Europe,231.0,1500.0,5593.0,36277.0
Germany,Albert-Ludwigs-Universitaet Freiburg,171,Europe,413.0,1966.0,3897.0,23214.0
India,Indian Institute of Technology Delhi (IITD),172,Asia,4.0,466.0,80.0,7477.0
Saudi Arabia,King Fahd University of Petroleum & Minerals,=173,Asia,665.0,1062.0,989.0,6040.0
United Kingdom,University of Liverpool,=173,Europe,717.0,2390.0,7502.0,22065.0
United States,University of Virginia,=173,North America,487.0,2509.0,1899.0,21560.0
Australia,University of Technology Sydney,176,Oceania,546.0,1328.0,7769.0,24207.0
France,CentraleSupélec,177,Europe,137.0,529.0,1132.0,3877.0
United States,University of Florida,178,North America,504.0,5419.0,4597.0,45485.0
India,Indian Institute of Technology Bombay (IITB),=179,Asia,19.0,876.0,93.0,9402.0
Netherlands,University of Twente,=179,Europe,299.0,910.0,2235.0,9332.0
Germany,University of Göttingen,181,Europe,641.0,3678.0,3736.0,30402.0
Belgium,Vrije Universiteit Brussel (VUB),=182,Europe,515.0,1792.0,1853.0,9284.0
Brazil,Universidade Estadual de Campinas (Unicamp),=182,Latin America,109.0,1968.0,966.0,26572.0
United States,University of Colorado Boulder,=182,North America,566.0,3685.0,2679.0,30219.0
Austria,Vienna University of Technology,=182,Europe,172.0,706.0,5199.0,17479.0
United States,University of Rochester,186,North America,488.0,2569.0,2805.0,9636.0
Spain,Universidad Autónoma de Madrid,187,Europe,181.0,2738.0,2976.0,26511.0
Italy,Alma Mater Studiorum - University of Bologna,=188,Europe,153.0,2990.0,4195.0,63399.0
United Kingdom,University of Reading,=188,Europe,422.0,1280.0,4077.0,13330.0
India,Indian Institute of Science (IISc) Bangalore,190,Asia,,423.0,47.0,4071.0
South Africa,University of Cape Town,191,Africa,379.0,1733.0,3325.0,19593.0
Italy,Scuola Normale Superiore di Pisa,=192,Europe,1.0,86.0,48.0,532.0
Italy,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,=192,Europe,1.0,119.0,135.0,789.0
Japan,Keio University CEMS MIM,=192,Asia,261.0,3905.0,2178.0,33500.0
Sweden,Stockholm University,=195,Europe,646.0,2154.0,2636.0,28281.0
Spain,Universitat Autònoma de Barcelona,=195,Europe,230.0,2187.0,3848.0,31986.0
United States,Texas A&M University,=195,North America,206.0,3446.0,4900.0,60294.0
Mexico,Instituto Tecnológico y de Estudios Superiores de Monterrey,199,Latin America,821.0,1822.0,1412.0,13376.0
Netherlands,Maastricht University,200,Europe,502.0,1277.0,8234.0,16385.0
Chile,Universidad de Chile,201,Latin America,127.0,2256.0,2134.0,38848.0
